/*LISTA GERAL CLASSIFICADO POR NOTA*/								
413	LETRAS PORTUGUES E ESPANHOL - LICENCIATURA							
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
571567	406.31	451.01	400.00	418.25	800.00	AC	545.93	1
589658	406.31	451.01	439.68	455.49	400.00	AC	425.42	2
547600	406.31	350.50	439.68	306.52	550.00	L8	433.84	1
								
446	CIENCIA BIOLOGICAS - LICENCIATURA							
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
583854	368.07	451.01	439.68	381.01	750.00	AC	497.43	1
585757	329.83	501.26	439.68	381.01	700.00	AC	486.94	2
578973	368.07	501.26	400.00	492.74	600.00	AC	477.01	3
548729	444.55	400.75	479.37	343.76	450.00	AC	430.52	4
579207	329.83	501.26	519.05	418.25	300.00	AC	412.98	5
583954	406.31	451.01	519.05	381.01	300.00	AC	411.15	6
591350	368.07	451.01	519.05	418.25	300.00	AC	410.98	7
580034	559.27	501.26	400.00	269.27	300.00	AC	396.63	8
567277	444.55	300.25	439.68	418.25	350.00	AC	391.26	9
581652	406.31	400.75	360.32	381.01	400.00	AC	388.09	10
559994	291.59	350.50	439.68	455.49	350.00	AC	380.35	11
583171	559.27	350.50	360.32	455.49	850.00	L1	530.12	1
587733	406.31	400.75	479.37	306.52	550.00	L1	442.94	2
557966	482.79	400.75	439.68	455.49	350.00	L1	420.59	3
556687	368.07	551.51	360.32	381.01	300.00	L3	381.84	1
589704	521.03	451.01	439.68	418.25	650.00	L4	504.14	1
580978	482.79	501.26	598.41	455.49	500.00	L8	514.53	1
562840	444.55	501.26	439.68	492.74	500.00	L8	474.68	2
555727	406.31	350.50	400.00	306.52	450.00	L8	389.72	3
								
1906 ENGENHARIA DE SOFTWARE - BACHAREL								
INSC	V_LIN	V_MAT	V_NAT	V_HUM	RED	COTA	NOTA FINAL	CLASSIFICAÇÃO
578790	635.76	752.51	677.78	641.71	800.00	AC	716.50	1
550627	712.24	702.26	558.73	492.74	900.00	AC	709.19	2
579829	635.76	853.02	479.37	678.96	650.00	AC	698.76	3
553872	635.76	652.01	677.78	492.74	900.00	AC	688.67	4
575393	635.76	652.01	558.73	567.23	900.00	AC	683.72	5
576846	635.76	601.76	519.05	604.47	950.00	AC	677.81	6
590785	635.76	601.76	638.10	604.47	850.00	AC	668.82	7
555005	635.76	652.01	558.73	492.74	850.00	AC	664.33	8
584680	597.51	652.01	638.10	567.23	800.00	AC	661.82	9
552090	597.51	601.76	558.73	567.23	850.00	AC	647.36	10
572770	597.51	652.01	558.73	492.74	800.00	AC	644.73	11
580749	559.27	652.01	558.73	567.23	800.00	AC	644.50	12
550934	559.27	601.76	558.73	604.47	850.00	AC	643.00	13
550787	559.27	702.26	400.00	492.74	750.00	AC	624.23	14
586746	597.51	551.51	558.73	604.47	800.00	AC	623.64	15
555355	559.27	752.51	479.37	641.71	550.00	AC	621.91	16
558433	597.51	551.51	558.73	604.47	750.00	AC	612.53	17
549199	559.27	601.76	519.05	567.23	750.00	AC	612.23	18
556391	597.51	652.01	519.05	529.98	650.00	AC	611.12	19
547569	444.55	652.01	439.68	604.47	800.00	AC	609.92	20
546717	597.51	601.76	479.37	604.47	700.00	AC	609.35	21
548622	559.27	601.76	479.37	641.71	700.00	AC	604.99	22
550367	597.51	451.01	598.41	529.98	850.00	AC	597.38	23
586643	597.51	501.26	519.05	529.98	800.00	AC	594.20	24
577049	444.55	551.51	519.05	455.49	900.00	AC	590.91	25
590034	635.76	400.75	519.05	604.47	850.00	AC	588.59	26
551800	674.00	551.51	598.41	381.01	650.00	AC	586.88	27
547681	482.79	652.01	400.00	529.98	700.00	AC	583.51	28
552303	674.00	451.01	479.37	529.98	750.00	AC	578.93	29
583717	674.00	400.75	439.68	604.47	800.00	AC	577.16	30
571549	521.03	451.01	479.37	567.23	850.00	AC	571.30	31
582257	674.00	551.51	479.37	455.49	600.00	AC	570.82	32
574258	597.51	501.26	558.73	567.23	650.00	AC	569.42	33
544094	559.27	551.51	519.05	529.98	650.00	AC	569.12	34
591268	559.27	551.51	558.73	529.98	600.00	AC	562.42	35
589359	559.27	601.76	598.41	529.98	500.00	AC	561.36	36
568956	635.76	451.01	400.00	604.47	700.00	AC	558.78	37
544062	559.27	501.26	479.37	604.47	650.00	AC	556.24	38
556860	521.03	551.51	558.73	641.71	550.00	AC	555.23	39
573845	635.76	501.26	439.68	529.98	600.00	AC	549.44	40
554064	597.51	400.75	439.68	604.47	750.00	AC	549.05	41
588232	482.79	551.51	638.10	567.23	550.00	AC	547.27	42
576275	482.79	551.51	320.64	455.49	750.00	AC	544.03	43
572903	521.03	501.26	400.00	529.98	700.00	AC	541.76	44
564111	597.51	451.01	638.10	529.98	550.00	AC	535.12	45
562843	482.79	551.51	479.37	604.47	550.00	AC	533.77	46
544612	521.03	551.51	439.68	567.23	550.00	AC	533.72	47
576483	444.55	551.51	400.00	418.25	700.00	AC	529.10	48
590779	597.51	501.26	519.05	343.76	600.00	AC	529.07	49
588429	559.27	451.01	439.68	343.76	750.00	AC	528.33	50
564418	559.27	501.26	439.68	492.74	600.00	AC	528.30	51
562511	559.27	551.51	519.05	529.98	450.00	AC	524.68	52
565671	368.07	601.76	360.32	418.25	700.00	AC	524.44	53
545472	444.55	551.51	519.05	455.49	600.00	AC	524.24	54
563825	521.03	501.26	479.37	492.74	600.00	AC	524.22	55
548206	521.03	501.26	598.41	455.49	550.00	AC	522.19	56
549299	521.03	551.51	479.37	418.25	550.00	AC	521.58	57
573654	635.76	400.75	479.37	418.25	650.00	AC	519.04	58
590211	444.55	501.26	558.73	418.25	650.00	AC	518.87	59
559714	559.27	501.26	519.05	418.25	550.00	AC	517.73	60
557496	482.79	451.01	400.00	492.74	700.00	AC	512.37	61
550139	444.55	451.01	400.00	567.23	700.00	AC	512.15	62
573197	559.27	400.75	598.41	381.01	650.00	AC	511.14	63
569803	559.27	501.26	479.37	492.74	500.00	AC	510.49	64
585228	444.55	501.26	479.37	492.74	600.00	AC	507.22	65
576023	482.79	451.01	519.05	567.23	550.00	AC	500.54	66
557686	597.51	551.51	439.68	381.01	400.00	AC	496.69	67
566297	559.27	451.01	400.00	567.23	500.00	AC	493.20	68
545926	521.03	451.01	479.37	455.49	550.00	AC	492.22	69
557935	444.55	501.26	479.37	455.49	550.00	AC	491.97	70
587542	597.51	350.50	479.37	567.23	550.00	AC	488.13	71
581078	406.31	451.01	439.68	381.01	700.00	AC	487.37	72
558203	482.79	451.01	479.37	529.98	500.00	AC	480.88	73
571213	444.55	451.01	439.68	381.01	600.00	AC	473.65	74
571193	482.79	400.75	519.05	529.98	500.00	AC	468.54	75
577719	368.07	451.01	439.68	455.49	600.00	AC	464.93	76
579340	482.79	451.01	400.00	455.49	500.00	AC	463.79	77
589383	559.27	400.75	360.32	492.74	500.00	AC	463.76	78
582647	521.03	300.25	360.32	455.49	700.00	AC	462.07	79
583442	444.55	451.01	479.37	269.27	550.00	AC	454.53	80
553722	482.79	451.01	479.37	381.01	450.00	AC	453.22	81
562273	559.27	350.50	439.68	455.49	500.00	AC	451.69	82
570440	444.55	400.75	479.37	381.01	550.00	AC	450.19	83
568933	368.07	451.01	280.95	343.76	650.00	AC	445.99	84
591928	368.07	400.75	479.37	492.74	550.00	AC	445.61	85
586114	444.55	350.50	400.00	455.49	600.00	AC	444.01	86
559448	444.55	350.50	519.05	381.01	550.00	AC	437.85	87
565662	444.55	350.50	439.68	455.49	550.00	AC	437.31	88
544292	444.55	451.01	479.37	306.52	450.00	AC	436.44	89
550456	406.31	350.50	439.68	418.25	600.00	AC	435.78	90
587105	368.07	400.75	439.68	418.25	550.00	AC	432.93	91
588994	368.07	400.75	439.68	381.01	550.00	AC	428.79	92
551979	444.55	300.25	519.05	529.98	500.00	AC	426.54	93
563985	368.07	300.25	439.68	455.49	650.00	AC	425.79	94
592145	368.07	451.01	519.05	418.25	400.00	AC	425.16	95
545035	482.79	350.50	519.05	381.01	400.00	AC	413.02	96
589252	329.83	400.75	519.05	306.52	500.00	AC	409.72	97
579157	368.07	400.75	479.37	381.01	300.00	AC	377.64	98
560345	329.83	400.75	400.00	306.52	400.00	AC	374.27	99
557618	521.03	601.76	439.68	455.49	800.00	L1	593.61	1
557960	559.27	601.76	400.00	492.74	750.00	L1	590.73	2
555729	597.51	501.26	519.05	455.49	750.00	L1	574.82	3
558185	597.51	601.76	519.05	529.98	550.00	L1	572.15	4
579066	444.55	501.26	598.41	455.49	800.00	L1	560.75	5
543907	482.79	501.26	558.73	529.98	700.00	L1	550.90	6
555090	559.27	501.26	439.68	567.23	600.00	L1	536.58	7
558387	482.79	551.51	400.00	455.49	650.00	L1	530.62	8
554922	635.76	501.26	479.37	418.25	550.00	L1	530.32	9
556978	597.51	551.51	439.68	455.49	500.00	L1	527.19	10
546880	521.03	451.01	519.05	492.74	650.00	L1	522.99	11
570607	406.31	501.26	360.32	529.98	750.00	L1	522.97	12
544006	482.79	551.51	479.37	492.74	550.00	L1	521.36	13
558316	521.03	350.50	479.37	529.98	550.00	L1	466.99	14
582605	521.03	400.75	400.00	492.74	500.00	L1	459.67	15
546456	444.55	451.01	360.32	343.76	500.00	L1	438.47	16
577366	368.07	451.01	479.37	455.49	450.00	L1	436.00	17
573165	368.07	400.75	519.05	455.49	500.00	L1	434.77	18
590261	368.07	451.01	400.00	418.25	400.00	L1	411.93	19
564397	635.76	601.76	439.68	492.74	350.00	L15	523.25	1
551880	521.03	551.51	479.37	492.74	400.00	L15	496.52	2
558025	597.51	551.51	439.68	529.98	800.00	L3	602.14	1
587872	521.03	551.51	519.05	567.23	700.00	L3	575.87	2
567291	482.79	451.01	598.41	492.74	750.00	L3	545.53	3
585999	406.31	451.01	519.05	418.25	600.00	L3	478.10	4
548576	521.03	802.76	519.05	492.74	800.00	L5	673.57	1
547907	559.27	601.76	439.68	567.23	950.00	L5	647.86	2
559633	482.79	652.01	439.68	529.98	950.00	L5	643.48	3
547453	444.55	551.51	439.68	604.47	950.00	L5	609.75	4
565056	521.03	551.51	519.05	567.23	850.00	L5	609.21	5
547607	635.76	601.76	519.05	567.23	650.00	L5	607.01	6
547690	444.55	652.01	479.37	529.98	800.00	L5	606.05	7
580349	559.27	601.76	479.37	529.98	750.00	L5	603.69	8
555607	597.51	601.76	439.68	567.23	700.00	L5	600.80	9
587390	521.03	601.76	439.68	641.71	650.00	L5	580.97	10
581914	521.03	501.26	519.05	604.47	750.00	L5	574.37	11
584906	521.03	451.01	558.73	678.96	750.00	L5	570.31	12
581484	559.27	501.26	400.00	492.74	800.00	L5	568.34	13
555787	559.27	451.01	439.68	343.76	900.00	L5	561.67	14
577534	482.79	601.76	439.68	343.76	650.00	L5	539.37	15
587309	482.79	451.01	479.37	418.25	750.00	L5	524.02	16
